010 dc81 2022 03 16 12 12 56
time,latitude,longitude,accuracy,private
72.3,52.020078,4.268614,16.0,P
73.3,52.020076,4.268619,8.0,P
74.2,52.020076,4.268619,8.0,P
75.0,52.020076,4.268619,8.0,P
76.0,52.020076,4.268619,8.0,P
77.0,52.020076,4.268619,8.0,P
78.0,52.020076,4.268619,8.0,P
79.2,52.020076,4.268619,8.0,P
80.0,52.020076,4.268619,8.0,P
81.1,52.020076,4.268619,8.0,P
82.0,52.020076,4.268619,8.0,P
83.1,52.020076,4.268619,8.0,P
84.0,52.020076,4.268619,8.0,P
85.1,52.020076,4.268619,8.0,P
86.1,52.020076,4.268619,8.0,P
87.0,52.020076,4.268619,8.0,P
88.0,52.020076,4.268619,8.0,P
89.0,52.020076,4.268619,8.0,P
90.0,52.020076,4.268619,8.0,P
91.1,52.020076,4.268619,8.0,P
92.2,52.020076,4.268619,8.0,P
93.0,52.020076,4.268619,8.0,P
94.0,52.020076,4.268619,8.0,P
95.0,52.020076,4.268619,8.0,P
96.0,52.020076,4.268619,8.0,P
97.0,52.020076,4.268619,8.0,P
98.2,52.020076,4.268619,8.0,P
99.1,52.020076,4.268619,8.0,P
100.0,52.020076,4.268619,8.0,P
101.0,52.020076,4.268619,8.0,P
102.1,52.020076,4.268619,8.0,P
103.0,52.020076,4.268619,6.0,P
104.1,52.020076,4.268619,6.0,P
105.0,52.020076,4.268619,6.0,P
106.0,52.020076,4.268619,6.0,P
107.1,52.020076,4.268619,6.0,P
108.1,52.020076,4.268619,6.0,P
109.0,52.020076,4.268619,6.0,P
110.3,52.020076,4.268619,6.0,P
111.0,52.020076,4.268619,6.0,P
112.0,52.020076,4.268619,6.0,P
113.1,52.020076,4.268619,6.0,P
114.1,52.020076,4.268619,6.0,P
115.1,52.020076,4.268619,6.0,P
116.0,52.020076,4.268619,6.0,P
117.0,52.020076,4.268619,6.0,P
118.0,52.020076,4.268619,6.0,P
119.0,52.020076,4.268619,6.0,P
120.1,52.020076,4.268619,6.0,P
121.0,52.020076,4.268619,6.0,P
122.1,52.020076,4.268619,6.0,P
123.0,52.020076,4.268619,6.0,P
124.0,52.020076,4.268619,6.0,P
125.0,52.020076,4.268619,6.0,P
126.1,52.020076,4.268619,6.0,P
127.0,52.020076,4.268619,6.0,P
128.0,52.020076,4.268619,6.0,P
129.2,52.020076,4.268619,6.0,P
130.1,52.020076,4.268619,6.0,P
131.0,52.020076,4.268619,6.0,P
132.1,52.020076,4.268619,6.0,P
133.0,52.020076,4.268619,6.0,P
134.0,52.020076,4.268619,6.0,P
135.1,52.020076,4.268619,6.0,P
136.2,52.020076,4.268619,6.0,P
137.1,52.020076,4.268619,6.0,P
138.1,52.020076,4.268619,6.0,P
139.0,52.020076,4.268619,6.0,P
140.3,52.020076,4.268619,6.0,P
141.0,52.020076,4.268619,6.0,P
142.0,52.020076,4.268619,6.0,P
143.0,52.020076,4.268619,6.0,P
144.2,52.020076,4.268619,6.0,P
145.1,52.020076,4.268619,6.0,P
146.0,52.020076,4.268619,6.0,P
147.0,52.020076,4.268619,8.0,P
148.0,52.020076,4.268619,8.0,P
149.0,52.020076,4.268619,6.0,P
150.0,52.020076,4.268619,6.0,P
151.0,52.020076,4.268619,6.0,P
152.1,52.020076,4.268619,6.0,P
153.0,52.020076,4.268619,6.0,P
154.0,52.020076,4.268619,6.0,P
155.1,52.020076,4.268619,6.0,P
156.0,52.020076,4.268619,6.0,P
157.1,52.020076,4.268619,8.0,P
158.1,52.020076,4.268619,6.0,P
159.1,52.020076,4.268619,6.0,P
160.0,52.020076,4.268619,8.0,P
161.1,52.020076,4.268619,8.0,P
162.0,52.020076,4.268619,8.0,P
