020 dc81 2022 03 16 12 15 34
time,latitude,longitude,accuracy,private
86.1,52.020062,4.268754,48.0,P
87.2,52.020056,4.268718,32.0,P
88.3,52.020056,4.268718,32.0,P
89.5,52.020056,4.268718,32.0,P
90.4,52.020056,4.268718,32.0,P
91.4,52.020056,4.268718,32.0,P
92.5,52.020056,4.268718,32.0,P
93.4,52.020056,4.268718,32.0,P
94.5,52.020056,4.268718,32.0,P
95.8,52.020056,4.268718,8.0,P
97.7,52.020056,4.268718,8.0,P
98.5,52.020056,4.268718,8.0,P
100.5,52.020056,4.268718,8.0,P
101.5,52.020056,4.268718,8.0,P
102.5,52.020056,4.268718,8.0,P
103.5,52.020056,4.268718,8.0,P
104.6,52.020056,4.268718,8.0,P
105.5,52.020056,4.268718,8.0,P
106.5,52.020056,4.268718,8.0,P
107.5,52.020056,4.268718,8.0,P
109.5,52.020056,4.268718,8.0,P
110.5,52.020056,4.268718,8.0,P
112.7,52.020056,4.268718,8.0,P
113.5,52.020056,4.268718,8.0,P
114.5,52.020056,4.268718,8.0,P
115.5,52.020056,4.268718,8.0,P
116.5,52.020056,4.268718,8.0,P
118.8,52.020056,4.268718,8.0,P
120.5,52.020056,4.268718,6.0,P
122.6,52.020056,4.268718,6.0,P
123.7,52.020056,4.268718,6.0,P
125.5,52.020056,4.268718,6.0,P
126.5,52.020056,4.268718,6.0,P
127.5,52.020056,4.268718,6.0,P
129.5,52.020056,4.268718,6.0,P
130.5,52.020056,4.268718,6.0,P
132.5,52.020056,4.268718,6.0,P
134.5,52.020056,4.268718,6.0,P
135.5,52.020056,4.268718,6.0,P
136.5,52.020056,4.268718,6.0,P
137.5,52.020056,4.268718,6.0,P
138.5,52.020056,4.268718,6.0,P
139.5,52.020056,4.268718,6.0,P
141.6,52.020056,4.268718,6.0,P
142.5,52.020056,4.268718,6.0,P
143.5,52.020056,4.268718,6.0,P
145.5,52.020056,4.268718,6.0,P
146.6,52.020056,4.268718,6.0,P
147.5,52.020056,4.268718,6.0,P
148.5,52.020056,4.268718,6.0,P
149.5,52.020056,4.268718,6.0,P
150.5,52.020056,4.268718,6.0,P
151.5,52.020056,4.268718,6.0,P
152.5,52.020056,4.268718,6.0,P
153.5,52.020056,4.268718,6.0,P
154.5,52.020056,4.268718,6.0,P
155.5,52.020056,4.268718,6.0,P
157.5,52.020056,4.268718,6.0,P
158.5,52.020056,4.268718,6.0,P
160.5,52.020056,4.268718,6.0,P
161.5,52.020056,4.268718,6.0,P
162.7,52.020056,4.268718,6.0,P
163.6,52.020056,4.268718,6.0,P
164.5,52.020056,4.268718,6.0,P
165.5,52.020056,4.268718,6.0,P
167.6,52.020056,4.268718,6.0,P
168.5,52.020056,4.268718,6.0,P
169.5,52.020056,4.268718,6.0,P
170.6,52.020056,4.268718,6.0,P
172.5,52.020056,4.268718,6.0,P
174.5,52.020056,4.268718,6.0,P
175.6,52.020056,4.268718,6.0,P
176.5,52.020056,4.268718,6.0,P
177.5,52.020056,4.268718,6.0,P
178.5,52.020056,4.268718,6.0,P
179.5,52.020056,4.268718,6.0,P
180.5,52.020056,4.268718,6.0,P
181.5,52.020056,4.268718,6.0,P
182.5,52.020056,4.268718,6.0,P
183.5,52.020056,4.268718,6.0,P
184.6,52.020056,4.268718,6.0,P
186.5,52.020056,4.268718,6.0,P
187.5,52.020056,4.268718,6.0,P
188.5,52.020056,4.268718,6.0,P
189.7,52.020056,4.268718,6.0,P
190.5,52.020056,4.268718,6.0,P
191.6,52.020056,4.268718,6.0,P
192.5,52.020056,4.268718,6.0,P
193.7,52.020056,4.268718,6.0,P
194.5,52.020056,4.268718,6.0,P
195.5,52.020056,4.268718,6.0,P
196.5,52.020056,4.268718,6.0,P
197.6,52.020056,4.268718,6.0,P
198.5,52.020056,4.268718,6.0,P
199.5,52.020056,4.268718,6.0,P
200.6,52.020056,4.268718,6.0,P
201.5,52.020056,4.268718,6.0,P
202.5,52.020056,4.268718,6.0,P
203.5,52.020056,4.268718,6.0,P
205.5,52.020056,4.268718,6.0,P
206.6,52.020056,4.268718,6.0,P
207.5,52.020056,4.268718,6.0,P
208.5,52.020056,4.268718,6.0,P
209.6,52.020056,4.268718,6.0,P
210.5,52.020056,4.268718,6.0,P
211.5,52.020056,4.268718,6.0,P
213.6,52.020056,4.268718,6.0,P
214.5,52.020056,4.268718,6.0,P
215.5,52.020056,4.268718,6.0,P
216.5,52.020056,4.268718,6.0,P
217.5,52.020056,4.268718,6.0,P
218.5,52.020056,4.268718,6.0,P
219.5,52.020056,4.268718,6.0,P
220.5,52.020056,4.268718,6.0,P
222.5,52.020056,4.268718,6.0,P
223.6,52.020056,4.268718,6.0,P
225.7,52.020056,4.268718,6.0,P
226.5,52.020056,4.268718,6.0,P
228.5,52.020056,4.268718,6.0,P
229.5,52.020056,4.268718,6.0,P
230.5,52.020056,4.268718,6.0,P
231.5,52.020056,4.268718,6.0,P
232.5,52.020056,4.268718,6.0,P
233.5,52.020056,4.268718,6.0,P
234.6,52.020056,4.268718,6.0,P
235.5,52.020056,4.268718,6.0,P
236.6,52.020056,4.268718,6.0,P
237.5,52.020056,4.268718,6.0,P
238.5,52.020056,4.268718,6.0,P
239.5,52.020056,4.268718,6.0,P
240.5,52.020056,4.268718,6.0,P
241.6,52.020056,4.268718,6.0,P
242.5,52.020056,4.268718,6.0,P
243.6,52.020056,4.268718,6.0,P
244.5,52.020056,4.268718,6.0,P
245.5,52.020056,4.268718,6.0,P
246.5,52.020056,4.268718,6.0,P
247.5,52.020056,4.268718,6.0,P
248.5,52.020056,4.268718,6.0,P
249.5,52.020056,4.268718,6.0,P
250.6,52.020056,4.268718,6.0,P
252.5,52.020056,4.268718,6.0,P
253.5,52.020056,4.268718,6.0,P
254.5,52.020056,4.268718,6.0,P
255.5,52.020056,4.268718,6.0,P
256.5,52.020056,4.268718,6.0,P
257.5,52.020056,4.268718,6.0,P
258.5,52.020056,4.268718,6.0,P
259.5,52.020056,4.268718,6.0,P
260.5,52.020056,4.268718,6.0,P
261.5,52.020056,4.268718,6.0,P
262.5,52.020056,4.268718,6.0,P
263.5,52.020056,4.268718,6.0,P
264.5,52.020056,4.268718,6.0,P
265.6,52.020056,4.268718,6.0,P
266.6,52.020056,4.268718,6.0,P
267.7,52.020056,4.268718,6.0,P
268.5,52.020056,4.268718,6.0,P
269.6,52.020056,4.268718,6.0,P
270.5,52.020056,4.268718,6.0,P
271.5,52.020056,4.268718,6.0,P
272.6,52.020056,4.268718,6.0,P
273.5,52.020056,4.268718,6.0,P
274.7,52.020056,4.268718,6.0,P
275.5,52.020056,4.268718,6.0,P
276.5,52.020056,4.268718,6.0,P
277.5,52.020056,4.268718,6.0,P
278.6,52.020056,4.268718,6.0,P
279.6,52.020056,4.268718,6.0,P
280.6,52.020056,4.268718,6.0,P
281.5,52.020056,4.268718,6.0,P
282.5,52.020056,4.268718,6.0,P
283.6,52.020056,4.268718,6.0,P
284.5,52.020056,4.268718,6.0,P
285.7,52.020056,4.268718,6.0,P
286.6,52.020056,4.268718,6.0,P
287.5,52.020056,4.268718,6.0,P
288.6,52.020056,4.268718,6.0,P
289.6,52.020056,4.268718,6.0,P
290.7,52.020056,4.268718,6.0,P
291.7,52.020056,4.268718,6.0,P
292.5,52.020056,4.268718,6.0,P
293.5,52.020056,4.268718,6.0,P
294.5,52.020056,4.268718,6.0,P
