040 dc81 2022 03 16 12 13 36
time,latitude,longitude,accuracy,private
76.3,52.020046,4.268634,32.0,P
85.2,52.020046,4.268634,4.0,P
86.2,52.020046,4.268634,4.0,P
87.1,52.020046,4.268634,4.0,P
88.2,52.020046,4.268634,4.0,P
89.1,52.020046,4.268634,4.0,P
90.1,52.020046,4.268634,4.0,P
91.2,52.020046,4.268634,4.0,P
92.1,52.020046,4.268634,4.0,P
93.2,52.020046,4.268634,4.0,P
94.2,52.020046,4.268634,4.0,P
95.2,52.020046,4.268634,6.0,P
96.2,52.020046,4.268634,6.0,P
97.2,52.020046,4.268634,6.0,P
98.2,52.020046,4.268634,6.0,P
99.1,52.020046,4.268634,4.0,P
100.3,52.020046,4.268634,4.0,P
101.1,52.020046,4.268634,4.0,P
102.2,52.020046,4.268634,4.0,P
103.1,52.020046,4.268634,4.0,P
104.3,52.020046,4.268634,4.0,P
105.1,52.020046,4.268634,4.0,P
106.3,52.020046,4.268634,4.0,P
107.1,52.020046,4.268634,6.0,P
108.1,52.020046,4.268634,6.0,P
109.1,52.020046,4.268634,6.0,P
110.2,52.020046,4.268634,6.0,P
111.2,52.020046,4.268634,6.0,P
112.2,52.020046,4.268634,6.0,P
113.2,52.020046,4.268634,6.0,P
114.2,52.020046,4.268634,6.0,P
115.2,52.020046,4.268634,6.0,P
116.1,52.020046,4.268634,6.0,P
117.1,52.020046,4.268634,6.0,P
118.2,52.020046,4.268634,6.0,P
119.1,52.020046,4.268634,6.0,P
120.2,52.020046,4.268634,6.0,P
121.2,52.020046,4.268634,6.0,P
122.1,52.020046,4.268634,6.0,P
123.2,52.020046,4.268634,6.0,P
124.1,52.020046,4.268634,6.0,P
125.1,52.020046,4.268634,6.0,P
126.1,52.020046,4.268634,6.0,P
127.1,52.020046,4.268634,4.0,P
128.1,52.020046,4.268634,4.0,P
129.1,52.020046,4.268634,4.0,P
130.2,52.020046,4.268634,4.0,P
131.1,52.020046,4.268634,6.0,P
132.4,52.020046,4.268634,6.0,P
133.1,52.020046,4.268634,6.0,P
134.2,52.020046,4.268634,6.0,P
135.1,52.020046,4.268634,6.0,P
136.1,52.020046,4.268634,6.0,P
137.3,52.020046,4.268634,6.0,P
138.3,52.020046,4.268634,6.0,P
139.2,52.020046,4.268634,6.0,P
140.1,52.020046,4.268634,6.0,P
141.1,52.020046,4.268634,6.0,P
142.2,52.020046,4.268634,6.0,P
143.2,52.020046,4.268634,4.0,P
144.2,52.020046,4.268634,4.0,P
145.1,52.020046,4.268634,4.0,P
146.3,52.020046,4.268634,4.0,P
147.1,52.020046,4.268634,4.0,P
148.1,52.020046,4.268634,4.0,P
149.1,52.020046,4.268634,4.0,P
150.2,52.020046,4.268634,4.0,P
151.2,52.020046,4.268634,4.0,P
152.3,52.020046,4.268634,4.0,P
153.2,52.020046,4.268634,4.0,P
154.2,52.020046,4.268634,4.0,P
155.3,52.020046,4.268634,4.0,P
156.2,52.020046,4.268634,4.0,P
157.1,52.020046,4.268634,4.0,P
158.2,52.020046,4.268634,4.0,P
159.2,52.020046,4.268634,4.0,P
160.3,52.020046,4.268634,4.0,P
161.2,52.020046,4.268634,4.0,P
162.1,52.020046,4.268634,4.0,P
163.1,52.020046,4.268634,4.0,P
164.2,52.020046,4.268634,4.0,P
165.2,52.020046,4.268634,4.0,P
166.1,52.020046,4.268634,4.0,P
167.2,52.020046,4.268634,4.0,P
168.2,52.020046,4.268634,4.0,P
169.2,52.020046,4.268634,4.0,P
170.2,52.020046,4.268634,4.0,P
171.1,52.020046,4.268634,4.0,P
172.1,52.020046,4.268634,4.0,P
173.2,52.020046,4.268634,4.0,P
174.1,52.020046,4.268634,4.0,P
175.1,52.020046,4.268634,4.0,P
176.1,52.020046,4.268634,4.0,P
177.2,52.020046,4.268634,4.0,P
178.2,52.020046,4.268634,4.0,P
179.2,52.020046,4.268634,4.0,P
180.1,52.020046,4.268634,4.0,P
181.2,52.020046,4.268634,4.0,P
182.1,52.020046,4.268634,4.0,P
183.5,52.020046,4.268634,4.0,P
185.1,52.020041,4.268561,4.0,P
186.2,52.020041,4.268561,4.0,P
187.4,52.020041,4.268561,4.0,P
189.1,52.020041,4.268561,4.0,P
190.1,52.020041,4.268561,4.0,P
191.1,52.020041,4.268561,4.0,P
192.2,52.020041,4.268561,4.0,P
193.2,52.020041,4.268561,4.0,P
194.2,52.020041,4.268561,4.0,P
195.2,52.020041,4.268561,4.0,P
196.2,52.020041,4.268561,4.0,P
197.2,52.020041,4.268561,4.0,P
198.2,52.020041,4.268561,4.0,P
199.2,52.020041,4.268561,4.0,P
200.3,52.020041,4.268561,4.0,P
201.2,52.020041,4.268561,4.0,P
202.3,52.020041,4.268561,4.0,P
203.1,52.020041,4.268561,4.0,P
204.3,52.020041,4.268561,4.0,P
205.1,52.020041,4.268561,4.0,P
206.2,52.020041,4.268561,4.0,P
207.2,52.020041,4.268561,4.0,P
208.2,52.020041,4.268561,4.0,P
209.3,52.020041,4.268561,4.0,P
210.3,52.020041,4.268561,4.0,P
211.2,52.020041,4.268561,4.0,P
212.1,52.020041,4.268561,4.0,P
213.1,52.020041,4.268561,4.0,P
214.4,52.020041,4.268561,4.0,P
215.1,52.020041,4.268561,4.0,P
216.1,52.020041,4.268561,4.0,P
217.2,52.020041,4.268561,4.0,P
218.1,52.020041,4.268561,4.0,P
219.2,52.020041,4.268561,4.0,P
220.2,52.020041,4.268561,4.0,P
221.2,52.020041,4.268561,4.0,P
222.1,52.020041,4.268561,4.0,P
223.1,52.020041,4.268561,4.0,P
224.2,52.020041,4.268561,4.0,P
225.2,52.020041,4.268561,4.0,P
226.1,52.020041,4.268561,4.0,P
227.3,52.020041,4.268561,4.0,P
228.2,52.020041,4.268561,4.0,P
229.3,52.020041,4.268561,4.0,P
230.2,52.020041,4.268561,4.0,P
231.2,52.020041,4.268561,4.0,P
232.1,52.020041,4.268561,4.0,P
233.3,52.020041,4.268561,4.0,P
234.2,52.020041,4.268561,4.0,P
235.4,52.020041,4.268561,4.0,P
236.2,52.020041,4.268561,4.0,P
237.2,52.020041,4.268561,4.0,P
238.2,52.020041,4.268561,4.0,P
239.2,52.020041,4.268561,4.0,P
240.2,52.020041,4.268561,4.0,P
241.1,52.020041,4.268561,4.0,P
242.2,52.020041,4.268561,4.0,P
243.2,52.020041,4.268561,4.0,P
244.3,52.020041,4.268561,4.0,P
245.1,52.020041,4.268561,4.0,P
246.2,52.020041,4.268561,4.0,P
247.2,52.020041,4.268561,4.0,P
