051 dc81 2022 03 16 12 41 33
time, latitude, longitude, accuracy, private
0.3,52.020142,4.268658,4.0,P
1.6,52.020143,4.268667,4.0,P
2.6,52.020143,4.268670,4.0,P
3.7,52.020144,4.268670,4.0,P
4.7,52.020145,4.268670,4.0,P
6.0,52.020147,4.268668,4.0,P
7.7,52.020147,4.268666,4.0,P
8.7,52.020149,4.268665,4.0,P
9.8,52.020150,4.268665,4.0,P
11.0,52.020149,4.268668,4.0,P
12.8,52.020154,4.268688,4.0,P
13.7,52.020154,4.268695,4.0,P
15.0,52.020153,4.268697,4.0,P
16.6,52.020151,4.268712,4.0,P
17.7,52.020151,4.268716,4.0,P
18.7,52.020149,4.268715,4.0,P
19.7,52.020147,4.268714,16.0,P
20.7,52.020146,4.268714,16.0,P
21.7,52.020146,4.268714,16.0,P
22.7,52.020146,4.268714,16.0,P
23.8,52.020146,4.268714,16.0,P
24.7,52.020145,4.268713,16.0,P
25.8,52.020145,4.268713,16.0,P
26.7,52.020145,4.268713,16.0,P
27.7,52.020145,4.268712,16.0,P
28.7,52.020145,4.268712,16.0,P
29.8,52.020145,4.268712,16.0,P
30.7,52.020145,4.268712,16.0,P
32.0,52.020144,4.268712,16.0,P
33.8,52.020144,4.268711,16.0,P
34.7,52.020144,4.268711,16.0,P
35.8,52.020144,4.268711,16.0,P
36.7,52.020144,4.268710,16.0,P
37.7,52.020144,4.268710,16.0,P
38.8,52.020144,4.268710,16.0,P
39.7,52.020144,4.268709,16.0,P
40.7,52.020144,4.268709,16.0,P
41.8,52.020143,4.268708,16.0,P
42.7,52.020143,4.268708,16.0,P
43.7,52.020143,4.268706,16.0,P
44.7,52.020143,4.268701,16.0,P
45.8,52.020144,4.268701,16.0,P
46.7,52.020144,4.268699,16.0,P
47.8,52.020144,4.268699,16.0,P
48.8,52.020144,4.268698,16.0,P
49.7,52.020143,4.268695,16.0,P
50.7,52.020142,4.268696,16.0,P
51.9,52.020141,4.268693,16.0,P
52.8,52.020139,4.268686,16.0,P
53.7,52.020138,4.268681,16.0,P
54.7,52.020133,4.268682,16.0,P
55.7,52.020127,4.268683,16.0,P
56.8,52.020118,4.268689,16.0,P
57.8,52.020109,4.268691,16.0,P
58.8,52.020098,4.268689,16.0,P
59.8,52.020085,4.268687,16.0,P
60.8,52.020071,4.268681,16.0,P
61.7,52.020057,4.268670,16.0,P
62.7,52.020052,4.268665,16.0,P
63.7,52.020047,4.268666,16.0,P
64.7,52.020045,4.268668,16.0,P
65.8,52.020045,4.268669,16.0,P
66.7,52.020045,4.268673,16.0,P
67.8,52.020045,4.268667,16.0,P
68.8,52.020049,4.268662,16.0,P
69.8,52.020055,4.268656,16.0,P
70.9,52.020062,4.268648,4.0,P
71.7,52.020060,4.268634,4.0,P
72.7,52.020070,4.268614,4.0,P
73.7,52.020078,4.268605,4.0,P
74.8,52.020085,4.268593,4.0,P
75.7,52.020085,4.268578,4.0,P
77.0,52.020089,4.268558,4.0,P
78.8,52.020098,4.268564,3.0,P
79.7,52.020096,4.268566,3.0,P
80.7,52.020084,4.268582,3.0,P
81.7,52.020072,4.268596,3.0,P
82.8,52.020060,4.268615,3.0,P
83.7,52.020051,4.268627,3.0,P
84.7,52.020044,4.268642,3.0,P
85.7,52.020035,4.268656,3.0,P
86.7,52.020028,4.268668,3.0,P
87.7,52.020021,4.268682,3.0,P
88.7,52.020014,4.268692,3.0,P
89.7,52.020008,4.268702,3.0,P
90.7,52.020006,4.268691,3.0,P
91.7,52.020015,4.268675,3.0,P
92.7,52.020019,4.268659,3.0,P
93.6,52.020022,4.268645,3.0,P
94.7,52.020025,4.268630,3.0,P
95.7,52.020031,4.268618,3.0,P
96.7,52.020038,4.268600,3.0,P
97.7,52.020045,4.268589,3.0,P
98.7,52.020051,4.268570,4.0,P
99.7,52.020057,4.268558,4.0,P
100.7,52.020063,4.268541,4.0,P
101.7,52.020069,4.268529,4.0,P
102.7,52.020078,4.268526,4.0,P
103.7,52.020088,4.268517,4.0,P
104.7,52.020098,4.268528,4.0,P
105.8,52.020103,4.268540,4.0,P
106.7,52.020103,4.268543,4.0,P
107.7,52.020089,4.268554,4.0,P
108.7,52.020076,4.268574,4.0,P
109.7,52.020064,4.268590,4.0,P
110.7,52.020051,4.268614,3.0,P
